Investigador,Nombre del evento,Tipo,Lugar,Ámbito,Productos asociados,Instituciones asociadas,Participantes,Año
Blanca Myriam SALGUERO LONDOÑO,"I Encuentro de productores de café en el municipio del Líbano Tolima, noviembre 2012", Encuentro,"LÍBANO   - Sede del comité departamental de cafeteros del Tolima, Líbano. Tolima",Nacional,"Aplicación de un método agroecológico para la evaluación de sostenibilidad en cafetales en el municipio del Líbano: Producción técnica - Presentación de trabajo - Ponencia
","Unibague: Patrocinadora
","BLANCA MYRIAM SALGUERO LONDONO: Organizador
",2012
Blanca Myriam SALGUERO LONDOÑO,I Taller de productores café y banano orgánico de la vereda Perico del municipio de Ibagué para evaluar la resiliencia de los sistemas agrícolas, Taller,"IBAGUÉ   - Finca Bellavista, vereda Perico, municipio de Ibagué",Nacional,"Evaluación de vulnerabilidad y resiliencia en los agroecosistemas Bellavista,el Encanto,el Placer y la Floresta vereda Perico, municipio de Ibagué: Demás trabajos - Demás trabajos - Póster
","Unibague: Patrocinadora
","BLANCA MYRIAM SALGUERO LONDONO: Organizador
",2017
Blanca Myriam SALGUERO LONDOÑO,"IV Encuentro de productores de café en el municipio del Líbano Tolima, noviembre 2015", Encuentro,LÍBANO   - Universidad de Ibagué,Nacional,"Aplicación de indicadores de calidad de suelo y salud del cultivo en dos sistemas de producción de café, Líbano-Tolima: Producción técnica - Presentación de trabajo - Ponencia
","Unibague: Patrocinadora
","BLANCA MYRIAM SALGUERO LONDONO: Organizador
",2015
Blanca Myriam SALGUERO LONDOÑO,"Seminario de sistemas integrados de producción en Fresno, Tolima, mayo 2016", Seminario,FRESNO   - Universidad de Ibagué,Nacional,"Evaluación de sostenibilidad mediante la aplicación de indicadores de calidad del suelo y salud del cultivo, Fresno - Tolima: Demás trabajos - Demás trabajos - Póster
","Unibague: Patrocinadora
","BLANCA MYRIAM SALGUERO LONDONO: Organizador
",2016
Blanca Myriam SALGUERO LONDOÑO,"II Encuentro de productores de café en el municipio del Líbano Tolima, noviembre 2013", Encuentro,IBAGUÉ   - Auditorio de Derecho-Universidad de Ibagué,Nacional,"Evaluación de la sostenibilidad en sistemas productivos de café del municipio del Líbano, Tolima: Producción técnica - Presentación de trabajo - Ponencia
","Unibague: Patrocinadora
","BLANCA MYRIAM SALGUERO LONDONO: Organizador
",2013
Blanca Myriam SALGUERO LONDOÑO,II Taller de productores de café con buenas prácticas agrícolas  de la vereda Calambeo del municipio de Ibagué para evaluar la resiliencia de los sistemas agrícolas, Taller,IBAGUÉ   - Finca Gaia,Nacional,"Evaluación de vulnerabilidad y resiliencia en al agroecosistema Gaia, vereda Calambeo, municipio de Ibagué.: Demás trabajos - Demás trabajos - Póster
","Unibague: Patrocinadora
","BLANCA MYRIAM SALGUERO LONDONO: Organizador
",2018
Blanca Myriam SALGUERO LONDOÑO,"III Encuentro de productores de café en el municipio del Líbano Tolima, noviembre 2014", Encuentro,"LÍBANO   - Auditorio comité municipal de cafeteros del Líbano, Tolima",Nacional,"Evaluación de calidad del suelo y salud del cultivo en sistemas productivos cafeteros, Líbano - Tolima.: Producción técnica - Presentación de trabajo - Ponencia
","Unibague: Patrocinadora
","BLANCA MYRIAM SALGUERO LONDONO: Organizador
",2014
Juan Sebastian Trujillo Hernandez,1° Taller de Tecnicas de Caracterización de Materiales, Taller,CALI   - Universidad del Valle,Nacional,"Espectroscopia Mössbauer y Aplicaciones: Producción técnica - Presentación de trabajo - Conferencia
","UNIVERSIDAD DEL VALLE: Patrocinadora
","JUAN SEBASTIAN TRUJILLO HERNANDEZ: Ponente magistral
",2022
Juan Sebastian Trujillo Hernandez,XXIX CONGRESO NACIONAL DE FÍSICA, Congreso,ARMENIA   - Universidad del Quindio,Nacional,"Microstructural and magnetic properties of Mn53.3-xAl45C1.7Tix (x = 0; 0.5; 1.0; 1.5) melt spun ribbons: Producción técnica - Presentación de trabajo - Ponencia
","UNIVERSIDAD DEL VALLE: Gestionadora
","JUAN SEBASTIAN TRUJILLO HERNANDEZ: Ponente
",2022
Juan Sebastian Trujillo Hernandez,IV Escuela Colombiana de Espectroscopia Mössbauer, Congreso,IBAGUÉ   - Universidad del Tolima - Universidad de Ibagué,Nacional,Ninguno,"UNIVERSIDAD DEL TOLIMA: Patrocinadora
","JUAN SEBASTIAN TRUJILLO HERNANDEZ: Organizador
",2019
