Grupo,Nombre del producto,Tipo,Año inicio,Año fin
NATURATU,DIVERSIDAD Y DISTRIBUCIÓN DE LÍQUENES CORTÍCOLAS EN EL ÁREA URBANA Y PERIURBANA DE LA CIUDAD DE IBAGUÉ-TOLIMA, Investigación y desarrollo,2015/7,2016/6
NATURATU,Aproximando soluciones de ecuaciones diferenciales mediante reemplazos recursivos, Investigación y desarrollo,2015/7,2016/8
NATURATU,DETERMINACIÓN DE LA MATERIA ORGANICA DE SUELOS MEDIANTE TÉCNICAS ESPECTROSCÓPICAS, Investigación y desarrollo,2015/7,2018/5
NATURATU,Estructura y diversidad florística de un remanente de bosque subandino de la microcuenca de la quebrada Ambalá en la ciudad de Ibagué, Investigación y desarrollo,2015/7,2017/9
NATURATU,Desarrollo de sensores electroquímico soportados sobre eléctrodos modificados aplicados al monitoreo de metales pesados en fuentes naturales de aguas," Investigación, desarrollo e innovación",2015/7,2016/11
NATURATU,Diversidad y distribución de líquenes cortícolas en el área urbana y periurbana de la ciudad de Ibagué-Tolima, Investigación y desarrollo,2015/7,2017/1
NATURATU,Teoría de Galois en un modelo de digestión anaerobia para la producción de biogás, Investigación y desarrollo,2015/7,2016/8
NATURATU,Aproximando soluciones de ecuaciones diferenciales mediante reemplazos recursivos, Investigación y desarrollo,2015/7,2016/8
NATURATU,Determinación de ión mercúrico mediante espectrofotometría UV-Vis y fluorescencia, Investigación y desarrollo,2015/6,2016/6
NATURATU,Síntesis de sondas fluorescentes derivadas de cumarinas y su aplicación como marcadores mitocondriales.," Investigación, desarrollo e innovación",2015/5,2017/6
NATURATU,"Caracterización de grupos troficos de nematodos de vida libre como Bioindicadores de la calidad y salud del suelo cafeteros en el municipio de Líbano, Tolima", Investigación y desarrollo,2015/2,2016/8
NATURATU,Alcaloides del género Erythrina, Investigación y desarrollo,2015/1,2015/2
NATURATU,"Evaluación de algunas propiedades biológicas en sistemas productivos de café en Líbano, Tolima", Investigación y desarrollo,2015/1,2017/8
NATURATU,Desarrollo y Optimización de nuevos dosímetros químicos fluorescentes útiles para el reconocimiento de derivados de SO2 y su aplicación en muestras reales., Investigación y desarrollo,2015/1,2017/Sin mes
NATURATU,Estudio y análisis de patrones colorimetricos en Catlteya trianae tipo y todas las variedades concolor, Investigación y desarrollo,2015/1,2016/12
NATURATU,Global pollinator declines: Assessing the physiological susceptibility of honey bees to pesticides and global warming, Investigación y desarrollo,2015/1,2017/2
NATURATU,"Estudio de las propiedades electrónicas de la superficie (111) del V, Cr, Mn y Mo.", Investigación y desarrollo,2015/1,2016/1
NATURATU,Modelo de Box Jenkins en la dinámica de producción con agricultura orgánica en el departamento del Tolima, Investigación y desarrollo,2014/8,Actual
NATURATU,Effect of alkaline treatments of Guadua fibres on flexural strength of cement composite boards, Investigación y desarrollo,2014/8,2020/4
NATURATU,Diseño y síntesis de quimiosensores específicos para Hg2+ y su aplicación ambiental," Investigación, desarrollo e innovación",2014/7,2016/7
NATURATU,Aislamiento de alcaloides de Erythrinarubrinervia y afinidad por receptores nicotínicos de acetilcolina, Investigación y desarrollo,2014/7,2015/7
NATURATU,"Diseño de una unidad didáctica para la enseñanza y el aprendizaje del tema Movimiento Oscilatorio desde la articulación de los conceptos físicos, el modelamiento matemático y sus aplicaciones", Extensión y responsabilidad social CTI,,
NATURATU,"Diseño de una unidad didáctica para la enseñanza y el aprendizaje del tema Movimiento Oscilatorio desde la articulación de los conceptos físicos, el modelamiento matemático y sus aplicaciones", Investigación y desarrollo,2014/6,2016/1
NATURATU,Diseño y síntesis de quimiosensores específicos para Hg2+ y su aplicación ambiental, Investigación y desarrollo,2014/6,2016/10
NATURATU,"Estudio ecológico y genético de la (s) población (es) de nutria neotropical (Lontra longicaudis), aguas arriba y aguas abajo de la Central hidroeléctrica la Miel I", Investigación y desarrollo,2014/5,2017/12
NATURATU,"Aplicación de un método agroecológico para la evaluación de sostenibilidad de sistemas productivos de café en el municipio del Líbano, Tolima.", Investigación y desarrollo,2014/2,2015/11
NATURATU,Estudio y modelamiento de los tiempos de captura en pozos cuánticos basados en nitruro de Galio, Investigación y desarrollo,2013/2,2015/8
NATURATU,Dirección de instituciones de educación superior, Extensión y responsabilidad social CTI,,
NATURATU,SÍNTESIS DE COMPUESTOS BIFUNCIONALES COMO POSIBLES AGENTES NEUROPROTECTORES, Investigación y desarrollo,2013/1,2016/10
NATURATU,Fichas de especies para actualización de Libro Rojo de Aves de Colombia, Investigación y desarrollo,2013/1,2017/Sin mes
NATURATU,Semillero Manejo Agroecológico como Estrategia de Conservación, Investigación y desarrollo,2013/1,2018/7
NATURATU,"Relación clima-tectónica y procesos superficiales en el norte de Suramérica, mediante geomorfología, termocronología cuantitativa y geomática", Investigación y desarrollo,2013/1,2015/12
NATURATU,"Dispersal, genetic differentiation and kinship of an ancient marsupial (Dromiciops gliroides) in a highly fragmented landscape", Investigación y desarrollo,2012/9,2014/9
NATURATU,Desarrollo de kits moleculares para la determinación de hierro," Investigación, desarrollo e innovación",2012/9,2013/9
NATURATU,USO DE TÉCNICAS ÓPTICAS PARA DETERMINAR EL NIVEL DE  MATERIA ORGANICA EN LA PLANTA DE TRATAMIENTO DE AGUA RESIDUAL  DE LA UNIVERSIDAD DE IBAGUÉ, Investigación y desarrollo,2012/7,2014/12
NATURATU,"Efecto de la fragmentación del bosque templado Valdiviano, sobre la diversidad genética de micromamíferos: El monito de monte como modelo de estudio", Investigación y desarrollo,2012/7,2014/7
NATURATU,"Determinación de la relación entre relieve, clima, tectónica y biodiversidad en orógenos circundantes a la cuenca del río Orinoco mediante métodos multiherramientas", Investigación y desarrollo,2012/5,2016/2
NATURATU,Formulación del plan de manejo de residuos sólidos reciclables en la Universidad de Ibague, Investigación + Creación,2012/3,2018/7
NATURATU,"Modelización, Simulación, Control Y Optimización de la Producción de metano e hidrogeno por vía digestión anaerobia de residuos orgánicos, urbanos y agrícolas", Investigación y desarrollo,2012/3,2013/12
NATURATU,Geociencia Integral de los Andes de Mérida (GIAME), Investigación y desarrollo,2012/1,2016/1
