Grupo,Nombre del Evento,Tipo,Lugar,Institución,Participación,Ámbito,Año,Mes,Día,Palabras,Area,Sectores
NATURATU,VII Congreso Internacional de Métodos Numéricos en Ingenierías, Congreso ,Guadalajara, UNIVERSIDAD DE IBAGUÉ, Ponente, Internacional, 2017,06,12 ,,,
NATURATU,Taller: Reconstrucción de la historia agrícola de la cuenca del río Anaime, Taller ,CAJAMARCA, UNIVERSIDAD DE IBAGUÉ, Organizador, Nacional, 2017,05,27 ,,,
NATURATU,XV ENCUENTRO DEPARTAMENTAL DE SEMILLEROS DE INVESTIGACIÓN REDCOLSI NODO TOLIMA Y III DE CULTURA CIENTIFICA 2017, Encuentro ,IBAGUÉ, Gobernación Del Tolima, Ponente, Nacional, 2017,05,12 ,,,
NATURATU,14th Latin American Conference on Physical Organic Chemistry, Congreso ,Valparaíso, Pontificia Universidad Católica De Chile, Ponente, Internacional, 2017,05,07 ,,,
NATURATU,14th Latin American Conference on Physical Organic Chemistry, Congreso ,Valparaíso, UNIVERSIDAD DE IBAGUÉ, Ponente, Internacional, 2017,05,07 ,,,
NATURATU,14th Latin american Conference on Physical Organic Chemistry, Congreso ,Valparaíso, UNIVERSIDAD DE IBAGUÉ, Ponente, Internacional, 2017,05,07 ,,,
NATURATU,XII Simposio Latinoamericano de Química Analítica y Medioambiente, Simposio ,MANIZALES, UNIVERSIDAD DE IBAGUÉ, Ponente, Internacional, 2017,04,25 ,,,
NATURATU,XII Simposio Latinoamericano de Química Analítica y Medioambiente, Simposio ,MANIZALES, UNIVERSIDAD DE IBAGUÉ, Ponente, Internacional, 2017,04,25 ,,,
NATURATU,CONGRESO COLOMBIANO DE ECOLOGÍA, Congreso ,"BOGOTÁ, D.C.", PONTIFICIA UNIVERSIDAD JAVERIANA," Asistente , Ponente", Nacional, 2016,11,29 ,,,
NATURATU,Congreso Colombiano de Ecología, Congreso ,"BOGOTÁ, D.C.", UNIVERSIDAD DE IBAGUÉ, Ponente, Nacional, 2016,11,29 ,,,
NATURATU,I Congreso Colombiano de Ecología, Congreso ,"BOGOTÁ, D.C.", UNIVERSIDAD DE IBAGUÉ, Ponente, Nacional, 2016,11,29 ,,,
NATURATU,I Congreso Colombiano de Ecología, Congreso ,"BOGOTÁ, D.C.", Arasarí Conservación e Investigación S.A.S., Ponente, Nacional, 2016,11,28 ,,,
NATURATU,VI Congreso Iberoamericano de Química Analítica y Ambiental CIAQA 2016, Congreso ,Cancún, UNIVERSIDAD DE IBAGUÉ, Ponente, Internacional, 2016,11,15 ,,,
NATURATU,V CONGRESO COLOMBIANO DE ORNITOLOGÍA, Congreso ,MEDELLÍN, Asociación Colombiana De Ornitología," Asistente , Ponente", Nacional, 2016,11,08 ,,,
NATURATU,V CONGRESO COLOMBIANO DE ORNITOLOGÍA, Congreso ,MEDELLÍN, Asociación Colombiana De Ornitología," Asistente , Ponente", Nacional, 2016,11,08 ,,,
NATURATU,V Congreso Colombiano de Ornitología, Congreso ,MEDELLÍN, UNIVERSIDAD DE ANTIOQUIA," Compilador de memorias , Organizador , Ponente", Nacional, 2016,11,08 ,,,
NATURATU,Congreso Colombiano de Ecología, Congreso ,"BOGOTÁ, D.C.", PONTIFICIA UNIVERSIDAD JAVERIANA, Ponente, Nacional, 2016,10,28 ,,,
NATURATU,Congreso Colombiano de Ecología, Congreso ,"BOGOTÁ, D.C.", PONTIFICIA UNIVERSIDAD JAVERIANA, Ponente, Nacional, 2016,10,28 ,,,
NATURATU,XIII SIMPOSIO INTERNACIONAL DE INVESTIGACIÓN FORMATIVA, Simposio ,CÚCUTA, UNIVERSIDAD DE IBAGUÉ, Ponente, Internacional, 2016,10,14 ,,,
NATURATU,II Congreso Colombiano de Electroquímica, Congreso ,BUCARAMANGA, UNIVERSIDAD DE IBAGUÉ, Ponente, Nacional, 2016,10,04 ,,,
NATURATU,6ta Semana de Investigación Universitaria, Otro ,IBAGUÉ, UNIVERSIDAD DE IBAGUÉ, Ponente, Nacional, 2016,09,21 ,,,
NATURATU,Semana de Investigación Universitaria SIU2016, Encuentro ,IBAGUÉ, UNIVERSIDAD DE IBAGUÉ, Ponente, Nacional, 2016,09,21 ,,,
NATURATU,Semana de Investigación Universitaria SIU 2016, Otro ,IBAGUÉ, UNIVERSIDAD DE IBAGUÉ, Ponente, Nacional, 2016,09,21 ,,,
NATURATU,VI Semana de Investigación Universitaria 2016, Otro ,IBAGUÉ, UNIVERSIDAD DE IBAGUÉ, Ponente, Nacional, 2016,09,20 ,,,
NATURATU,SIU-SEMANA INVESTIGACION UNIVERSITARIA, Encuentro ,IBAGUÉ, UNIVERSIDAD DE IBAGUÉ, Ponente, Nacional, 2016,09,20 ,,,
NATURATU,Seminario de Formación en Investigación IV de Cultura Científica y VIII de la RedCOLSI Nodo Tolima, Seminario ,IBAGUÉ, FUNDACION REDCOLSI NODO TOLIMA, Asistente, Nacional, 2016,09,10 ,,,
NATURATU,5Th International workshop on image analysis methods for the plant sciences., Congreso ,Angers, UNIVERSIDAD DE IBAGUÉ, Ponente, Internacional, 2016,09,05 ,,,
NATURATU,OSA Latin America Optics & Photonics Conference (LAOP), Congreso ,MEDELLÍN, UNIVERSIDAD DE IBAGUÉ, Asistente, Internacional, 2016,08,22 ,,,
NATURATU, Latin American Optics and Photonics (LAOP) Conference, Congreso ,MEDELLÍN, UNIVERSIDAD DE IBAGUÉ, Ponente, Internacional, 2016,08,22 ,,,
NATURATU,VI Encuentro Nacional de Matemáticas y Estadística, Encuentro ,IBAGUÉ, UNIVERSIDAD DE IBAGUÉ, Ponente, Nacional, 2016,06,01 ,,,
NATURATU,"Seminario de sistemas integrados de producción en Fresno, Tolima, mayo 2016", Seminario ,FRESNO, Unibague, Organizador, Nacional, 2016,05,20 ,,,
NATURATU,XIV Encuentro Departamental de Semilleros de Investigación RedCOLSI nodo Tolima y II cultura cientifica Convenio 1026-2013, Encuentro ,ESPINAL, UNIVERSIDAD DE IBAGUÉ, Ponente, Nacional, 2016,05,13 ,,,
NATURATU,XIV ENCUENTRO DEPARTAMENTAL DE SEMILLEROS DE INVESTIGACIÓN REDCOLSI NODO TOLIMA Y II DE CULTURA CIENTÍFICA 2016, Encuentro ,ESPINAL, Gobernación Del Tolima, Ponente, Nacional, 2016,05,13 ,,,
NATURATU,V congreso iberoamericano de Productos Naturales, Congreso ,"BOGOTÁ, D.C.", UNIVERSIDAD DE IBAGUÉ, Ponente, Internacional, 2016,04,25 ,,,
NATURATU,V Congreso Iberoamericano de Productos Naturales, Congreso ,"BOGOTÁ, D.C.", UNIVERSIDAD DE IBAGUÉ, Ponente, Internacional, 2016,04,25 ,,,
NATURATU,32 Congreso de Latinoamericano de Química CLAQ-2016, Congreso ,concepción, UNIVERSIDAD DE IBAGUÉ, Ponente, Internacional, 2016,01,19 ,,,
NATURATU,1er. Foro de Sustentabilidad Ecosistémica: Páramos: producción vs sostenibilidad, Otro ,IBAGUÉ, RAPE Región Central, Asistente, Nacional, 2015,12,10 ,,,
NATURATU,Congreso Colombiano de Mastozoología y III Congreso Latinoamericano de Mastozoología, Congreso ,"BOGOTÁ, D.C.", UNIVERSIDAD DE IBAGUÉ, Ponente, Internacional, 2015,12,01 ,,,
NATURATU,Congreso Colombiano de Mastozoología y III Congreso Latinoamericano de Mastozoología, Congreso ,"BOGOTÁ, D.C.", UNIVERSIDAD DE IBAGUÉ, Ponente, Internacional, 2015,12,01 ,,,
NATURATU,Congreso Colombiano de Mastozoología y III Congreso Latinoamericano de Mastozoología, Congreso ,"BOGOTÁ, D.C.", UNIVERSIDAD DE IBAGUÉ, Ponente, Internacional, 2015,12,01 ,,,
NATURATU,"IV Encuentro de productores de café en el municipio del Líbano Tolima, noviembre 2015", Encuentro ,LÍBANO, Unibague, Organizador, Nacional, 2015,11,27 ,,,
NATURATU,Estudio de procesos de exhumación de orógenos y discriminación de la relación clima-tectónica-procesos superficiales mediante termocronología cuantitativa, Seminario ,Santiago, Institut De Recherche Pour Le Dévelopement (Ird), Ponente Magistral, Nacional, 2015,11,23 ,,,
NATURATU,V Scientific Conference on Andean Orchids, Congreso ,CALI, UNIVERSIDAD DE IBAGUÉ, Ponente, Internacional, 2015,11,19 ,,,
NATURATU,"9th congress of chemical science, technology and innovation", Congreso ,La Habana, FONDO NACIONAL DE DESARROLLO CIENTIFICO Y TEGNOLOGICO, Ponente Magistral, Internacional, 2015,10,13 ,,,
NATURATU,Semana de Investigación Universitaria, Seminario ,IBAGUÉ, UNIVERSIDAD DE IBAGUÉ, Ponente, Nacional, 2015,09,22 ,,,
NATURATU,Semana de Investigación Universitaria 2015 - Universidad de Ibagué, Otro ,IBAGUÉ, UNIVERSIDAD DE IBAGUÉ, Ponente, Nacional, 2015,09,21 ,,,
